STATION NAME                                      DATE                PRCP                TMAX                TMIN                
------------------------------------------------------------------------------------------------------------------------
BANKHEAD LOCK AND DAM                             03 01 2018          0.15                40.2                37.3                
BANKHEAD LOCK AND DAM                             03 02 2018          0.45                40.3                36.4                
BANKHEAD LOCK AND DAM                             03 03 2018          0.00                40.3                35.3                
BANKHEAD LOCK AND DAM                             03 04 2018          0.00                40.2                35.3                
BANKHEAD LOCK AND DAM                             03 05 2018          0.00                38.5                35.6                
BANKHEAD LOCK AND DAM                             03 06 2018          1.36                38.6                35.7                
BANKHEAD LOCK AND DAM                             03 07 2018          0.41                37.4                35.4                
BANKHEAD LOCK AND DAM                             03 08 2018          0.00                37.1                34.9                
BANKHEAD LOCK AND DAM                             03 09 2018          0.00                37.2                34.9                
BANKHEAD LOCK AND DAM                             03 10 2018          0.00                38.3                35                  
BANKHEAD LOCK AND DAM                             03 11 2018          0.89                39                  36.7                
BANKHEAD LOCK AND DAM                             03 12 2018          0.10                39                  35.4                
BANKHEAD LOCK AND DAM                             03 13 2018          0.00                37.8                35.3                
BANKHEAD LOCK AND DAM                             03 14 2018          0.00                37.7                35.1                
BANKHEAD LOCK AND DAM                             03 15 2018          0.00                37.5                35.4                
BANKHEAD LOCK AND DAM                             03 16 2018          0.00                38.8                35.4                
BANKHEAD LOCK AND DAM                             03 17 2018          0.15                38.4                36.6                
BANKHEAD LOCK AND DAM                             03 18 2018          0.00                39.8                37.8                
BANKHEAD LOCK AND DAM                             03 19 2018          0.17                39.1                37.8                
BANKHEAD LOCK AND DAM                             03 20 2018          0.04                39.6                37.4                
BANKHEAD LOCK AND DAM                             03 22 2018          0.00                38.2                35.4                
BANKHEAD LOCK AND DAM                             03 23 2018          0.00                38.8                35.7                
BANKHEAD LOCK AND DAM                             03 24 2018          0.00                39.7                36.2                
BANKHEAD LOCK AND DAM                             03 25 2018          0.01                39.6                37.5                
BANKHEAD LOCK AND DAM                             03 26 2018          0.00                39.7                36.9                
BANKHEAD LOCK AND DAM                             03 27 2018          0.00                37.4                36.6                
BANKHEAD LOCK AND DAM                             03 28 2018          0.00                38.9                36.6                
BANKHEAD LOCK AND DAM                             03 29 2018          0.00                39.2                37.4                
BANKHEAD LOCK AND DAM                             03 30 2018          0.85                38.9                37.2                
BANKHEAD LOCK AND DAM                             03 31 2018          0.00                39.4                36                  
DEMOPOLIS LOCK AND DAM                            03 01 2018          0.00                40.1                36.6                
DEMOPOLIS LOCK AND DAM                            03 02 2018          0.18                39.4                36.8                
DEMOPOLIS LOCK AND DAM                            03 03 2018          0.00                38.2                36.2                
DEMOPOLIS LOCK AND DAM                            03 04 2018          0.00                38.7                35.8                
DEMOPOLIS LOCK AND DAM                            03 05 2018          0.00                38.9                35.8                
DEMOPOLIS LOCK AND DAM                            03 06 2018          0.35                39.4                35.9                
DEMOPOLIS LOCK AND DAM                            03 07 2018          0.56                38.6                37                  
DEMOPOLIS LOCK AND DAM                            03 08 2018          0.00                37.2                35.3                
DEMOPOLIS LOCK AND DAM                            03 09 2018          0.00                37.6                35.1                
DEMOPOLIS LOCK AND DAM                            03 10 2018          0.00                38.7                35.1                
DEMOPOLIS LOCK AND DAM                            03 11 2018          0.46                39.6                36.8                
DEMOPOLIS LOCK AND DAM                            03 12 2018          1.67                39.6                36.6                
DEMOPOLIS LOCK AND DAM                            03 13 2018          0.00                37.8                35.5                
DEMOPOLIS LOCK AND DAM                            03 14 2018          0.00                37.9                35.4                
DEMOPOLIS LOCK AND DAM                            03 15 2018          0.00                37.6                35.2                
DEMOPOLIS LOCK AND DAM                            03 16 2018          0.00                39                  35                  
DEMOPOLIS LOCK AND DAM                            03 17 2018          0.00                38.7                36                  
DEMOPOLIS LOCK AND DAM                            03 18 2018          0.00                40.3                38.1                
DEMOPOLIS LOCK AND DAM                            03 19 2018          0.00                39.2                38.3                
DEMOPOLIS LOCK AND DAM                            03 20 2018          0.00                40                  37.6                
DEMOPOLIS LOCK AND DAM                            03 21 2018          0.00                37.7                36                  
DEMOPOLIS LOCK AND DAM                            03 22 2018          0.00                37.7                35.5                
DEMOPOLIS LOCK AND DAM                            03 23 2018          0.00                38.5                35.6                
DEMOPOLIS LOCK AND DAM                            03 24 2018          0.00                39.3                36.2                
DEMOPOLIS LOCK AND DAM                            03 25 2018          0.00                39.9                37.6                
DEMOPOLIS LOCK AND DAM                            03 26 2018          0.00                40.2                37.4                
DEMOPOLIS LOCK AND DAM                            03 27 2018          0.00                37.7                37.1                
DEMOPOLIS LOCK AND DAM                            03 28 2018          0.00                38.9                37                  
DEMOPOLIS LOCK AND DAM                            03 29 2018          0.00                39.9                37                  
DEMOPOLIS LOCK AND DAM                            03 30 2018          1.00                39.7                37.3                
DEMOPOLIS LOCK AND DAM                            03 31 2018          0.00                38.4                36.2                
GUNTERSVILLE NUMBER 2                             03 01 2018          0.60                38.8                37.4                
GUNTERSVILLE NUMBER 2                             03 02 2018          0.45                38.8                36.5                
GUNTERSVILLE NUMBER 2                             03 03 2018          0.00                37.7                35.9                
GUNTERSVILLE NUMBER 2                             03 04 2018          0.00                38                  36                  
GUNTERSVILLE NUMBER 2                             03 05 2018          0.02                38.5                36                  
GUNTERSVILLE NUMBER 2                             03 06 2018          0.26                37.8                37                  
GUNTERSVILLE NUMBER 2                             03 07 2018          0.00                38.3                35.8                
GUNTERSVILLE NUMBER 2                             03 08 2018          0.00                36.5                35.3                
GUNTERSVILLE NUMBER 2                             03 09 2018          0.00                36.7                35                  
GUNTERSVILLE NUMBER 2                             03 10 2018          0.00                38.1                35                  
GUNTERSVILLE NUMBER 2                             03 11 2018          1.66                38.2                36.9                
GUNTERSVILLE NUMBER 2                             03 12 2018          0.06                37.9                35.7                
GUNTERSVILLE NUMBER 2                             03 13 2018          0.02                37                  35.5                
GUNTERSVILLE NUMBER 2                             03 14 2018          0.00                37.3                35.6                
GUNTERSVILLE NUMBER 2                             03 15 2018          0.00                36.9                35.3                
GUNTERSVILLE NUMBER 2                             03 16 2018          0.00                38.5                35.3                
GUNTERSVILLE NUMBER 2                             03 17 2018          0.01                38.6                36.6                
GUNTERSVILLE NUMBER 2                             03 18 2018          0.00                39.4                37.2                
GUNTERSVILLE NUMBER 2                             03 19 2018          0.14                38.4                37.2                
GUNTERSVILLE NUMBER 2                             03 20 2018          1.36                38.8                37.2                
GUNTERSVILLE NUMBER 2                             03 21 2018          0.02                37.4                35.6                
GUNTERSVILLE NUMBER 2                             03 22 2018          0.00                37.2                35.6                
GUNTERSVILLE NUMBER 2                             03 23 2018          0.00                37.6                35.9                
GUNTERSVILLE NUMBER 2                             03 24 2018          0.00                38                  36.4                
GUNTERSVILLE NUMBER 2                             03 25 2018          0.26                39.2                37.3                
GUNTERSVILLE NUMBER 2                             03 27 2018          0.00                37.4                36.6                
GUNTERSVILLE NUMBER 2                             03 28 2018          0.00                38.4                36.9                
GUNTERSVILLE NUMBER 2                             03 29 2018          0.00                39.5                37.3                
GUNTERSVILLE NUMBER 2                             03 30 2018          0.85                39.3                37.2                
GUNTERSVILLE NUMBER 2                             03 31 2018          0.00                37.9                36.1                
ADDISON                                           03 01 2018          1.13                38.8                37.3                
ADDISON                                           03 02 2018          0.29                38                  36                  
ADDISON                                           03 03 2018          0.00                37.6                35.7                
ADDISON                                           03 04 2018          0.00                38.1                34.9                
ADDISON                                           03 06 2018          0.54                38.9                35                  
ADDISON                                           03 10 2018          0.00                38.2                36.3                
ADDISON                                           03 11 2018          2.57                37.6                36.3                
ADDISON                                           03 12 2018          0.07                37.8                35.2                
ADDISON                                           03 13 2018          0.00                37.2                34.6                
ADDISON                                           03 14 2018          0.00                37.6                34.6                
ADDISON                                           03 15 2018          0.00                37.2                34.2                
ADDISON                                           03 16 2018          0.00                38.8                34.3                
ADDISON                                           03 17 2018          0.03                38.5                36                  
ADDISON                                           03 18 2018          0.00                39.6                37                  
ADDISON                                           03 19 2018          0.00                38.6                37                  
ADDISON                                           03 20 2018          1.22                39.3                36.7                
ADDISON                                           03 21 2018          0.04                37.1                35.1                
ADDISON                                           03 22 2018          0.00                37.2                34.7                
ADDISON                                           03 23 2018          0.00                38.3                34.7                
ADDISON                                           03 24 2018          0.00                38.7                36                  
ADDISON                                           03 25 2018          0.00                39                  37.2                
ADDISON                                           03 26 2018          0.00                39.4                36.9                
ADDISON                                           03 27 2018          0.00                37.4                36.5                
ADDISON                                           03 28 2018          0.00                39.2                36.5                
ADDISON                                           03 29 2018          0.06                39.2                38                  
ADDISON                                           03 30 2018          0.88                38.4                37                  
ADDISON                                           03 31 2018          0.00                38                  35.3                
GUNTERSVILLE                                      03 01 2018          0.65                38.7                37.3                
GUNTERSVILLE                                      03 02 2018          0.87                38.6                36.3                
GUNTERSVILLE                                      03 03 2018          0.00                37.8                35.9                
GUNTERSVILLE                                      03 04 2018          0.00                38.1                36.1                
GUNTERSVILLE                                      03 05 2018          0.00                38.6                36.7                
GUNTERSVILLE                                      03 06 2018          0.24                37.7                37                  
GUNTERSVILLE                                      03 07 2018          0.03                38.4                35.7                
GUNTERSVILLE                                      03 08 2018          0.00                36.5                35.2                
GUNTERSVILLE                                      03 09 2018          0.00                36.7                34.9                
GUNTERSVILLE                                      03 10 2018          0.00                38.1                34.7                
GUNTERSVILLE                                      03 11 2018          1.69                38.2                36.9                
GUNTERSVILLE                                      03 12 2018          0.08                37.9                35.6                
GUNTERSVILLE                                      03 13 2018          0.00                37.9                35.5                
GUNTERSVILLE                                      03 14 2018          0.00                37.4                35.4                
GUNTERSVILLE                                      03 15 2018          0.00                37                  35.2                
GUNTERSVILLE                                      03 16 2018          0.00                38.6                35.1                
GUNTERSVILLE                                      03 17 2018          0.00                38.6                36.2                
GUNTERSVILLE                                      03 19 2018          0.14                38.5                37.3                
GUNTERSVILLE                                      03 20 2018          1.38                38.8                37.3                
GUNTERSVILLE                                      03 21 2018          0.03                37.4                35.6                
GUNTERSVILLE                                      03 22 2018          0.00                37.2                35.5                
GUNTERSVILLE                                      03 23 2018          0.00                37.7                35.6                
GUNTERSVILLE                                      03 24 2018          0.00                37.9                36.1                
GUNTERSVILLE                                      03 25 2018          0.23                39.2                37.5                
GUNTERSVILLE                                      03 26 2018          0.00                38.7                36.9                
GUNTERSVILLE                                      03 27 2018          0.00                37.3                36.6                
GUNTERSVILLE                                      03 28 2018          0.00                38.3                36.8                
GUNTERSVILLE                                      03 29 2018          0.00                39.5                36.8                
GUNTERSVILLE                                      03 30 2018          0.80                39.2                37.2                
GUNTERSVILLE                                      03 31 2018          0.00                38                  36.1                
MUSCLE SHOALS WATER PLANT                         03 01 2018          1.45                38.8                37.3                
MUSCLE SHOALS WATER PLANT                         03 02 2018          0.43                38.2                35.9                
MUSCLE SHOALS WATER PLANT                         03 03 2018          0.01                37.8                35.5                
MUSCLE SHOALS WATER PLANT                         03 04 2018          0.00                38.2                35.4                
MUSCLE SHOALS WATER PLANT                         03 05 2018          0.07                38.8                35.4                
MUSCLE SHOALS WATER PLANT                         03 06 2018          0.15                38.1                36.9                
MUSCLE SHOALS WATER PLANT                         03 07 2018          0.00                38.5                35.5                
MUSCLE SHOALS WATER PLANT                         03 08 2018          0.00                36.6                34.9                
MUSCLE SHOALS WATER PLANT                         03 09 2018          0.00                36.8                34.7                
MUSCLE SHOALS WATER PLANT                         03 10 2018          0.00                38.3                34.8                
MUSCLE SHOALS WATER PLANT                         03 12 2018          0.08                37.9                35.5                
MUSCLE SHOALS WATER PLANT                         03 13 2018          0.00                37.4                35.1                
MUSCLE SHOALS WATER PLANT                         03 14 2018          0.00                37.5                34.9                
MUSCLE SHOALS WATER PLANT                         03 15 2018          0.00                37.2                34.9                
MUSCLE SHOALS WATER PLANT                         03 16 2018          0.00                38.9                34.9                
MUSCLE SHOALS WATER PLANT                         03 17 2018          0.00                38.8                36.2                
MUSCLE SHOALS WATER PLANT                         03 18 2018          0.00                39.9                36.7                
MUSCLE SHOALS WATER PLANT                         03 19 2018          0.02                38.1                36.7                
MUSCLE SHOALS WATER PLANT                         03 20 2018          0.26                38.8                36.6                
MUSCLE SHOALS WATER PLANT                         03 22 2018          0.00                37.3                35                  
MUSCLE SHOALS WATER PLANT                         03 23 2018          0.01                38                  35.1                
MUSCLE SHOALS WATER PLANT                         03 24 2018          0.00                38                  36.3                
MUSCLE SHOALS WATER PLANT                         03 25 2018          0.49                38.7                37.4                
MUSCLE SHOALS WATER PLANT                         03 26 2018          0.01                38.3                36.8                
MUSCLE SHOALS WATER PLANT                         03 27 2018          0.00                37.6                36.9                
MUSCLE SHOALS WATER PLANT                         03 28 2018          0.00                39.2                36.8                
MUSCLE SHOALS WATER PLANT                         03 29 2018          1.24                39.5                37.8                
MUSCLE SHOALS WATER PLANT                         03 30 2018          0.43                38.2                37                  
MUSCLE SHOALS WATER PLANT                         03 31 2018          0.02                38.2                35.6                
VALLEY HEAD                                       03 01 2018          0.56                38.4                36.9                
VALLEY HEAD                                       03 02 2018          0.00                38.2                35                  
VALLEY HEAD                                       03 03 2018          0.00                38                  34.8                
VALLEY HEAD                                       03 04 2018          0.00                38.8                35.4                
VALLEY HEAD                                       03 05 2018          0.00                37.5                36.3                
VALLEY HEAD                                       03 06 2018          0.22                38.4                36.7                
VALLEY HEAD                                       03 07 2018          0.00                36.8                35.7                
VALLEY HEAD                                       03 08 2018          0.00                36.5                34.7                
VALLEY HEAD                                       03 09 2018          0.00                37.7                34.1                
VALLEY HEAD                                       03 10 2018          0.62                37.7                35.1                
VALLEY HEAD                                       03 11 2018          0.71                37.8                36.6                
VALLEY HEAD                                       03 12 2018          0.00                36.9                35.5                
VALLEY HEAD                                       03 13 2018          0.00                37.2                34.7                
VALLEY HEAD                                       03 14 2018          0.00                36.8                34.6                
VALLEY HEAD                                       03 15 2018          0.00                38.4                34.4                
VALLEY HEAD                                       03 16 2018          0.00                38.8                35.3                
VALLEY HEAD                                       03 17 2018          0.11                39.4                36.8                
VALLEY HEAD                                       03 18 2018          0.04                38.6                36.2                
VALLEY HEAD                                       03 19 2018          0.09                38.1                37.1                
VALLEY HEAD                                       03 20 2018          0.01                37.8                35.6                
VALLEY HEAD                                       03 21 2018          0.01                36.9                35                  
VALLEY HEAD                                       03 22 2018          0.00                37.6                34.5                
VALLEY HEAD                                       03 23 2018          0.00                38.3                35.1                
VALLEY HEAD                                       03 24 2018          0.12                38.6                36.8                
VALLEY HEAD                                       03 25 2018          0.00                38                  36.7                
VALLEY HEAD                                       03 26 2018          0.00                36.7                36.3                
VALLEY HEAD                                       03 27 2018          0.00                38                  36.2                
VALLEY HEAD                                       03 28 2018          0.00                39.5                37.1                
VALLEY HEAD                                       03 29 2018          0.86                39.4                37.6                
VALLEY HEAD                                       03 30 2018          0.00                37.8                35.6                
VALLEY HEAD                                       03 31 2018          0.00                38.5                35.1                
MOULTON 2                                         03 01 2018          0.88                38.7                37.5                
MOULTON 2                                         03 02 2018          0.19                38.1                35.9                
MOULTON 2                                         03 03 2018          0.00                37.6                35                  
MOULTON 2                                         03 04 2018          0.00                38                  35.1                
MOULTON 2                                         03 05 2018          0.13                38.8                35.8                
MOULTON 2                                         03 06 2018          0.00                38                  36.8                
MOULTON 2                                         03 07 2018          0.00                38.3                35.5                
MOULTON 2                                         03 08 2018          0.00                38.3                34.7                
MOULTON 2                                         03 09 2018          0.00                36.7                34.5                
MOULTON 2                                         03 10 2018          0.10                38.3                35.4                
MOULTON 2                                         03 11 2018          0.71                37.9                37                  
MOULTON 2                                         03 12 2018          0.09                37.8                35.4                
MOULTON 2                                         03 13 2018          0.00                37.2                34.8                
MOULTON 2                                         03 14 2018          0.00                37.4                34.8                
MOULTON 2                                         03 15 2018          0.00                37                  34.7                
MOULTON 2                                         03 16 2018          0.00                38.7                35.1                
MOULTON 2                                         03 17 2018          0.11                38.6                36.2                
MOULTON 2                                         03 18 2018          0.00                39.7                36.8                
MOULTON 2                                         03 19 2018          0.25                38.2                36.8                
MOULTON 2                                         03 20 2018          0.89                39.3                36.8                
MOULTON 2                                         03 21 2018          0.00                37                  35.2                
MOULTON 2                                         03 22 2018          0.00                37                  34.9                
MOULTON 2                                         03 23 2018          0.02                37.8                35.2                
MOULTON 2                                         03 24 2018          0.01                38                  36.1                
MOULTON 2                                         03 25 2018          0.26                38.9                37.6                
MOULTON 2                                         03 26 2018          0.00                38.3                36.9                
MOULTON 2                                         03 27 2018          0.00                37.5                36.6                
MOULTON 2                                         03 28 2018          0.00                38.5                36.6                
MOULTON 2                                         03 29 2018          0.48                39.2                37.9                
MOULTON 2                                         03 30 2018          0.60                39.2                36.9                
MOULTON 2                                         03 31 2018          0.00                37.9                35.5                
ALICEVILLE                                        03 01 2018          0.35                39.8                37.4                
ALICEVILLE                                        03 02 2018          0.00                38.1                36.8                
ALICEVILLE                                        03 03 2018          0.00                38.3                35.1                
ALICEVILLE                                        03 04 2018          0.00                38.8                36.3                
ALICEVILLE                                        03 05 2018          0.00                39.1                37.1                
ALICEVILLE                                        03 06 2018          0.50                39.1                36.9                
ALICEVILLE                                        03 07 2018          0.00                38.6                35.4                
